Date,Views,Watch time (hours),Average view duration
2023-06-12,5,0.2029,0:02:26
2023-06-11,3,0.0058,0:00:06
2023-06-10,2,0.0073,0:00:13
2023-06-09,2,0.226,0:06:46
2023-06-08,6,0.4479,0:04:28
2023-06-06,4,1.0194,0:15:17
2023-06-05,4,0.9435,0:14:09
2023-06-04,3,1.0853,0:21:42
2023-06-03,9,0.6805,0:04:32
2023-06-02,2,0.0648,0:01:56
2023-06-01,1,0.0021,0:00:07
2023-05-31,4,0.2679,0:04:01
2023-05-30,11,0.1895,0:01:02
2023-05-29,2,0.0045,0:00:08
2023-05-28,1,0.0001,0:00:00
2023-05-27,2,0.0379,0:01:08
2023-05-26,9,0.336,0:02:14
2023-05-25,1,0.0046,0:00:16
2023-05-24,9,0.6893,0:04:35
2023-05-23,1,0.0027,0:00:09
2023-05-22,7,0.4134,0:03:32
2023-05-21,5,0.2603,0:03:07
2023-05-20,2,0.0185,0:00:33
2023-05-19,5,0.2949,0:03:32
2023-05-18,8,0.4937,0:03:42
2023-05-17,11,0.2265,0:01:14
2023-05-16,2,0.0392,0:01:10
2023-05-15,3,0.0143,0:00:17
2023-05-13,2,0.0324,0:00:58
2023-05-12,19,2.0849,0:06:35
2023-05-11,2,0.2466,0:07:23
2023-05-10,1,0.1623,0:09:44
2023-05-09,5,0.3593,0:04:18
2023-05-08,2,0.0176,0:00:31
2023-05-07,1,0.0111,0:00:39
2023-05-06,2,0.0205,0:00:36
2023-05-05,2,0.5024,0:15:04
2023-05-04,3,0.1652,0:03:18
2023-05-03,5,0.4308,0:05:10
2023-05-02,1,0.006,0:00:21
2023-05-01,9,0.8854,0:05:54
2023-04-30,3,0.021,0:00:25
2023-04-28,6,0.1465,0:01:27
2023-04-27,6,0.1039,0:01:02
2023-04-26,7,0.1454,0:01:14
2023-04-25,14,0.0783,0:00:20
2023-04-23,2,0.0139,0:00:24
2023-04-22,6,0.0238,0:00:14
2023-04-21,4,0.3244,0:04:51
2023-04-20,4,0.3826,0:05:44
2023-04-19,3,0.1582,0:03:09
2023-04-18,14,1.9744,0:08:27
2023-04-17,10,1.0253,0:06:09
2023-04-16,7,0.3494,0:02:59
2023-04-15,8,0.3103,0:02:19
2023-04-14,2,0.0414,0:01:14
2023-04-13,3,0.2754,0:05:30
2023-04-12,1,0.0091,0:00:32
2023-04-11,3,0.0839,0:01:40
2023-04-10,3,0.2039,0:04:04
2023-04-09,2,0.0322,0:00:58
2023-04-07,3,0.01,0:00:12
2023-04-06,1,0.0115,0:00:41
2023-04-05,2,0.003,0:00:05
2023-04-04,2,0.0721,0:02:09
2023-04-03,5,0.2451,0:02:56
2023-04-02,1,0.0038,0:00:13
2023-04-01,5,0.0096,0:00:06
2023-03-31,2,0.0073,0:00:13
2023-03-30,3,0.0576,0:01:09
2023-03-29,6,0.3419,0:03:25
2023-03-28,2,0.0228,0:00:40
2023-03-27,2,0.0384,0:01:09
2023-03-25,1,0.0071,0:00:25
2023-03-24,5,0.0537,0:00:38
2023-03-23,2,0.057,0:01:42
2023-03-22,2,0.0056,0:00:10
2023-03-21,2,0.0745,0:02:14
2023-03-20,5,0.0263,0:00:18
2023-03-18,1,0.2092,0:12:33
2023-03-17,1,0.0109,0:00:39
2023-03-16,13,0.3164,0:01:27
2023-03-15,1,0.0028,0:00:09
2023-03-14,3,0.028,0:00:33
2023-03-13,7,0.2992,0:02:33
2023-03-12,4,0.0487,0:00:43
2023-03-11,1,0.026,0:01:33
2023-03-10,20,0.2893,0:00:52
2023-03-09,7,0.1238,0:01:03
2023-03-08,17,0.5703,0:02:00
2023-03-07,3,0.0345,0:00:41
2023-03-06,7,0.3225,0:02:45
2023-03-05,4,0.1487,0:02:13
2023-03-04,2,0.0063,0:00:11
2023-03-03,4,0.0411,0:00:36
2023-03-02,5,0.0478,0:00:34
2023-03-01,1,0.0031,0:00:11
2023-02-28,1,0.0091,0:00:32
2023-02-27,4,0.0261,0:00:23
2023-02-26,6,0.2641,0:02:38
2023-02-25,71,0.1603,0:00:08
2023-02-24,1,0.0327,0:01:57
2023-02-23,5,0.4649,0:05:34
2023-02-22,2,0.033,0:00:59
2023-02-21,4,0.0421,0:00:37
2023-02-20,5,0.2371,0:02:50
2023-02-19,3,0.0201,0:00:24
2023-02-18,3,0.0306,0:00:36
2023-02-17,2,0.0057,0:00:10
2023-02-16,3,0.1437,0:02:52
2023-02-15,1,1.1683,1:10:05
2023-02-14,4,0.3155,0:04:43
2023-02-12,3,0.0569,0:01:08
2023-02-11,16,0.2341,0:00:52
2023-02-10,3,0.0768,0:01:32
2023-02-09,2,0.0497,0:01:29
2023-02-08,4,0.0726,0:01:05
2023-02-07,4,0.0081,0:00:07
2023-02-06,1,0.0011,0:00:04
2023-02-05,5,0.0404,0:00:29
2023-02-04,5,0.2533,0:03:02
2023-02-03,3,0.0378,0:00:45
2023-02-02,3,0.114,0:02:16
2023-02-01,6,0.0645,0:00:38
2023-01-31,6,0.0265,0:00:15
2023-01-30,13,2.0828,0:09:36
2023-01-29,7,1.18,0:10:06
2023-01-28,15,1.7573,0:07:01
2023-01-27,31,2.2813,0:04:24
2023-01-26,47,4.585,0:05:51
2023-01-25,47,6.8429,0:08:44
2023-01-24,41,9.4563,0:13:50
2023-01-23,23,0.868,0:02:15
2023-01-22,18,0.3854,0:01:17
2023-01-21,4,0.0084,0:00:07
2023-01-20,5,0.185,0:02:13
2023-01-19,4,0.4947,0:07:25
2023-01-18,8,0.2837,0:02:07
2023-01-17,15,0.3561,0:01:25
2023-01-16,11,0.3614,0:01:58
2023-01-15,4,0.2273,0:03:24
2023-01-14,5,0.0667,0:00:48
2023-01-13,4,1.9975,0:29:57
2023-01-12,6,0.7638,0:07:38
2023-01-11,3,0.0785,0:01:34
2023-01-10,1,0.0017,0:00:06
2023-01-09,6,0.1587,0:01:35
2023-01-08,2,0.0039,0:00:06
2023-01-07,3,0.0422,0:00:50
2023-01-06,5,0.1168,0:01:24
2023-01-05,9,0.5991,0:03:59
2023-01-04,75,0.6684,0:00:32
2023-01-03,14,1.1475,0:04:55
2023-01-02,4,0.2604,0:03:54
2023-01-01,6,0.0462,0:00:27
2022-12-31,0,0,
2022-12-30,3,0.0136,0:00:16
2022-12-29,4,0.0296,0:00:26
2022-12-28,6,0.0799,0:00:47
2022-12-27,4,0.0891,0:01:20
2022-12-26,7,0.0415,0:00:21
2022-12-25,2,0.0322,0:00:58
2022-12-23,5,0.1024,0:01:13
2022-12-22,5,0.2367,0:02:50
2022-12-21,1,0.0398,0:02:23
2022-12-20,3,0.1567,0:03:08
2022-12-19,14,1.6568,0:07:06
2022-12-18,4,0.2065,0:03:05
2022-12-17,3,0.4978,0:09:57
2022-12-16,3,0.0506,0:01:00
2022-12-15,9,0.1584,0:01:03
2022-12-14,8,0.1922,0:01:26
2022-12-13,4,0.1779,0:02:40
2022-12-12,5,0.335,0:04:01
2022-12-11,6,0.0221,0:00:13
2022-12-10,10,0.4094,0:02:27
2022-12-09,6,0.4215,0:04:12
2022-12-08,5,0.258,0:03:05
2022-12-07,3,0.0165,0:00:19
2022-12-06,4,0.68,0:10:12
2022-12-05,6,0.1995,0:01:59
2022-12-04,8,0.1688,0:01:15
2022-12-03,6,0.1038,0:01:02
2022-12-02,15,0.5499,0:02:11
2022-12-01,6,0.0909,0:00:54
2022-11-30,4,0.0582,0:00:52
2022-11-29,20,0.493,0:01:28
2022-11-28,33,0.8079,0:01:28
2022-11-26,6,0.0343,0:00:20
2022-11-25,4,0.0331,0:00:29
2022-11-24,6,0.2466,0:02:27
2022-11-23,15,0.489,0:01:57
2022-11-22,4,0.0089,0:00:08
2022-11-21,6,0.2413,0:02:24
2022-11-20,8,1.5879,0:11:54
2022-11-19,9,0.1823,0:01:12
2022-11-18,26,1.0264,0:02:22
2022-11-17,39,2.4982,0:03:50
2022-11-16,18,0.6149,0:02:02
2022-11-15,15,0.3592,0:01:26
2022-11-14,53,5.1826,0:05:52
2022-11-13,40,2.4942,0:03:44
2022-11-12,19,3.6767,0:11:36
2022-11-11,36,3.5379,0:05:53
2022-11-10,17,0.7028,0:02:28
2022-11-09,63,3.6964,0:03:31
2022-11-08,25,2.5601,0:06:08
2022-11-07,63,10.0116,0:09:32
2022-11-06,29,1.0436,0:02:09
2022-11-05,18,0.9392,0:03:07
2022-11-04,35,7.8782,0:13:30
2022-11-03,51,3.8026,0:04:28
2022-11-02,52,2.9209,0:03:22
2022-11-01,80,10.0819,0:07:33
2022-10-31,77,5.9491,0:04:38
2022-10-30,20,0.7607,0:02:16
2022-10-29,38,4.3076,0:06:48
2022-10-28,52,3.9344,0:04:32
2022-10-27,66,5.8253,0:05:17
2022-10-26,85,10.9608,0:07:44
2022-10-25,57,8.3582,0:08:47
2022-10-24,29,3.5107,0:07:15
2022-10-23,13,0.4868,0:02:14
2022-10-22,54,4.8062,0:05:20
2022-10-21,35,2.9598,0:05:04
2022-10-20,11,1.5768,0:08:36
2022-10-19,31,3.2425,0:06:16
2022-10-18,25,2.2398,0:05:22
2022-10-17,9,0.895,0:05:58
2022-10-16,25,1.8085,0:04:20
2022-10-15,30,2.6349,0:05:16
2022-10-14,50,5.8282,0:06:59
2022-10-13,35,2.4116,0:04:08
2022-10-12,61,4.4119,0:04:20
2022-10-11,93,9.0135,0:05:48
2022-10-10,37,4.7892,0:07:45
2022-10-09,98,1.4291,0:00:52
2022-10-08,34,1.1566,0:02:02
2022-10-07,50,2.7319,0:03:16
2022-10-06,57,3.0736,0:03:14
2022-10-05,82,2.9284,0:02:08
2022-10-04,103,10.0254,0:05:50
2022-10-03,79,8.0096,0:06:04
2022-10-02,33,2.464,0:04:28
2022-10-01,38,5.3057,0:08:22
2022-09-30,84,5.0272,0:03:35
2022-09-29,97,10.4367,0:06:27
2022-09-28,101,7.553,0:04:29
2022-09-27,161,5.1602,0:01:55
2022-09-26,367,4.7961,0:00:47
2022-09-25,179,6.5356,0:02:11
2022-09-24,57,3.8742,0:04:04
2022-09-23,59,3.2167,0:03:16
2022-09-22,109,5.7104,0:03:08
2022-09-21,56,3.5417,0:03:47
2022-09-20,95,8.0787,0:05:06
2022-09-19,30,4.183,0:08:21
2022-09-18,31,0.8691,0:01:40
2022-09-17,48,3.192,0:03:59
2022-09-16,81,9.2362,0:06:50
2022-09-15,105,9.7159,0:05:33
2022-09-14,64,3.6483,0:03:25
2022-09-13,75,7.5511,0:06:02
2022-09-12,63,5.3642,0:05:06
2022-09-11,35,7.9379,0:13:36
2022-09-10,26,1.637,0:03:46
2022-09-09,41,1.2831,0:01:52
2022-09-08,40,4.4947,0:06:44
2022-09-07,65,3.8073,0:03:30
2022-09-06,141,7.4825,0:03:11
2022-09-05,37,2.4162,0:03:55
2022-09-04,76,4.224,0:03:20
2022-09-03,26,2.4614,0:05:40
2022-09-02,94,8.3475,0:05:19
2022-09-01,88,4.2755,0:02:54
2022-08-31,73,4.1542,0:03:24
2022-08-30,60,2.5865,0:02:35
2022-08-29,85,5.9273,0:04:11
2022-08-28,23,3.0039,0:07:50
2022-08-27,38,0.7782,0:01:13
2022-08-26,53,2.7707,0:03:08
2022-08-25,79,3.2365,0:02:27
2022-08-24,83,6.5833,0:04:45
2022-08-23,97,7.5082,0:04:38
2022-08-22,64,3.6682,0:03:26
2022-08-21,110,6.4155,0:03:29
2022-08-20,37,3.6098,0:05:51
2022-08-19,53,2.6084,0:02:57
2022-08-18,95,3.8313,0:02:25
2022-08-17,35,3.5955,0:06:09
2022-08-16,86,3.6677,0:02:33
2022-08-15,78,3.9775,0:03:03
2022-08-14,40,0.5004,0:00:45
2022-08-13,83,2.445,0:01:46
2022-08-12,164,5.1515,0:01:53
2022-08-11,149,6.7809,0:02:43
2022-08-10,162,9.7227,0:03:36
2022-08-09,311,24.1195,0:04:39
2022-08-08,363,26.4802,0:04:22
2022-08-07,84,6.9384,0:04:57
2022-08-06,79,7.2062,0:05:28
2022-08-05,20,1.2706,0:03:48
2022-08-04,94,4.8562,0:03:05
2022-08-03,29,3.154,0:06:31
2022-08-02,32,0.8718,0:01:38
2022-08-01,72,3.4664,0:02:53
2022-07-31,102,7.3581,0:04:19
2022-07-30,64,3.8469,0:03:36
2022-07-29,53,6.5396,0:07:24
2022-07-28,53,8.0723,0:09:08
2022-07-27,46,3.0232,0:03:56
Showing top 500 results
