Date,Subtitles and CC,Views
2021-01-19,,1
2021-01-20,,0
2021-01-21,,1
2021-01-22,,0
2021-01-23,,0
2021-01-24,,0
2021-01-25,,2
2021-01-26,,0
2021-01-27,,5
2021-01-28,,5
2021-01-29,,0
2021-01-30,,3
2021-01-31,,1
2021-02-01,,6
2021-02-02,,1
2021-02-03,,5
2021-02-04,,0
2021-02-05,,0
2021-02-06,,2
2021-02-07,,1
2021-02-08,,2
2021-02-09,,2
2021-02-10,,1
2021-02-11,,1
2021-02-12,,1
2021-02-13,,1
2021-02-14,,0
2021-02-15,,4
2021-02-16,,1
2021-02-17,,3
2021-02-18,,2
2021-02-19,,2
2021-02-20,,0
2021-02-21,,0
2021-02-22,,3
2021-02-23,,8
2021-02-24,,3
2021-02-25,,1
2021-02-26,,1
2021-02-27,,0
2021-02-28,,1
2021-03-01,,8
2021-03-02,,1
2021-03-03,,2
2021-03-04,,2
2021-03-05,,2
2021-03-06,,8
2021-03-07,,7
2021-03-08,,4
2021-03-09,,2
2021-03-10,,2
2021-03-11,,0
2021-03-12,,0
2021-03-13,,2
2021-03-14,,1
2021-03-15,,1
2021-03-16,,0
2021-03-17,,8
2021-03-18,,2
2021-03-19,,0
2021-03-20,,1
2021-03-21,,2
2021-03-22,,1
2021-03-23,,1
2021-03-24,,3
2021-03-25,,3
2021-03-26,,1
2021-03-27,,2
2021-03-28,,1
2021-03-29,,2
2021-03-30,,1
2021-03-31,,0
2021-04-01,,3
2021-04-02,,0
2021-04-03,,0
2021-04-04,,2
2021-04-05,,2
2021-04-06,,1
2021-04-07,,2
2021-04-08,,1
2021-04-09,,0
2021-04-10,,2
2021-04-11,,2
2021-04-12,,0
2021-04-13,,1
2021-04-14,,0
2021-04-15,,3
2021-04-16,,6
2021-04-17,,2
2021-04-18,,0
2021-04-19,,2
2021-04-20,,3
2021-04-21,,2
2021-04-22,,2
2021-04-23,,3
2021-04-24,,2
2021-04-25,,26
2021-04-26,,6
2021-04-27,,1
2021-04-28,,1
2021-04-29,,1
2021-04-30,,1
2021-05-01,,0
2021-05-02,,0
2021-05-03,,5
2021-05-04,,8
2021-05-05,,1
2021-05-06,,6
2021-05-07,,0
2021-05-08,,0
2021-05-09,,0
2021-05-10,,1
2021-05-11,,1
2021-05-12,,6
2021-05-13,,1
2021-05-14,,1
2021-05-15,,1
2021-05-16,,6
2021-05-17,,1
2021-05-18,,0
2021-05-19,,2
2021-05-20,,1
2021-05-21,,0
2021-05-22,,2
2021-05-23,,2
2021-05-24,,3
2021-05-25,,1
2021-05-26,,1
2021-05-27,,0
2021-05-28,,1
2021-05-29,,3
2021-05-30,,2
2021-05-31,,2
2021-06-01,,3
2021-06-02,,3
2021-06-03,,1
2021-06-04,,9
2021-06-05,,1
2021-06-06,,1
2021-06-07,,1
2021-06-08,,1
2021-06-09,,15
2021-06-10,,6
2021-06-11,,0
2021-06-12,,3
2021-06-13,,1
2021-06-14,,6
2021-06-15,,3
2021-06-16,,26
2021-06-17,,15
2021-06-18,,0
2021-06-19,,63
2021-06-20,,35
2021-06-21,,177
2021-06-22,,131
2021-06-23,,121
2021-06-24,,121
2021-06-25,,166
2021-06-26,,110
2021-06-27,,69
2021-06-28,,80
2021-06-29,,59
2021-06-30,,37
2021-07-01,,27
2021-07-02,,32
2021-07-03,,12
2021-07-04,,27
2021-07-05,,13
2021-07-06,,14
2021-07-07,,21
2021-07-08,,6
2021-07-09,,31
2021-07-10,,15
2021-07-11,,18
2021-07-12,,114
2021-07-13,,107
2021-07-14,,76
2021-07-15,,68
2021-07-16,,54
2021-07-17,,21
2021-07-18,,18
2021-07-19,,54
2021-07-20,,32
2021-07-21,,48
2021-07-22,,81
2021-07-23,,48
2021-07-24,,38
2021-07-25,,5
2021-07-26,,33
2021-07-27,,31
2021-07-28,,51
2021-07-29,,84
2021-07-30,,46
2021-07-31,,7
2021-08-01,,6
2021-08-02,,77
2021-08-03,,79
2021-08-04,,14
2021-08-05,,14
2021-08-06,,8
2021-08-07,,14
2021-08-08,,8
2021-08-09,,42
2021-08-10,,26
2021-08-11,,29
2021-08-12,,4
2021-08-13,,12
2021-08-14,,3
2021-08-15,,4
2021-08-16,,41
2021-08-17,,83
2021-08-18,,54
2021-08-19,,43
2021-08-20,,37
2021-08-21,,9
2021-08-22,,7
2021-08-23,,24
2021-08-24,,26
2021-08-25,,27
2021-08-26,,42
2021-08-27,,20
2021-08-28,,7
2021-08-29,,5
2021-08-30,,38
2021-08-31,,26
2021-09-01,,14
2021-09-02,,6
2021-09-03,,16
2021-09-04,,12
2021-09-05,,4
2021-09-06,,50
2021-09-07,,23
2021-09-08,,22
2021-09-09,,13
2021-09-10,,31
2021-09-11,,6
2021-09-12,,8
2021-09-13,,5
2021-09-14,,11
2021-09-15,,34
2021-09-16,,10
2021-09-17,,18
2021-09-18,,6
2021-09-19,,1
2021-09-20,,14
2021-09-21,,9
2021-09-22,,22
2021-09-23,,21
2021-09-24,,28
2021-09-25,,20
2021-09-26,,8
2021-09-27,,16
2021-09-28,,8
2021-09-29,,8
2021-09-30,,30
2021-10-01,,24
2021-10-02,,24
2021-10-03,,6
2021-10-04,,3
2021-10-05,,13
2021-10-06,,29
2021-10-07,,11
2021-10-08,,6
2021-10-09,,11
2021-10-10,,3
2021-10-11,,10
2021-10-12,,7
2021-10-13,,6
2021-10-14,,2
2021-10-15,,0
2021-10-16,,0
2021-10-17,,4
2021-10-18,,0
2021-10-19,,5
2021-10-20,,7
2021-10-21,,1
2021-10-22,,8
2021-10-23,,2
2021-10-24,,0
2021-10-25,,125
2021-10-26,,170
2021-10-27,,170
2021-10-28,,7
2021-10-29,,8
2021-10-30,,2
2021-10-31,,5
2021-11-01,,1
2021-11-02,,1
2021-11-03,,5
2021-11-04,,6
2021-11-05,,10
2021-11-06,,0
2021-11-07,,4
2021-11-08,,6
2021-11-09,,2
2021-11-10,,81
2021-11-11,,84
2021-11-12,,0
2021-11-13,,1
2021-11-14,,1
2021-11-15,,9
2021-11-16,,3
2021-11-17,,6
2021-11-18,,3
2021-11-19,,0
2021-11-20,,6
2021-11-21,,0
2021-11-22,,0
2021-11-23,,9
2021-11-24,,2
2021-11-25,,4
2021-11-26,,0
2021-11-27,,0
2021-11-28,,2
2021-11-29,,1
2021-11-30,,3
2021-12-01,,2
2021-12-02,,1
2021-12-03,,0
2021-12-04,,1
2021-12-05,,3
2021-12-06,,3
2021-12-07,,3
2021-12-08,,4
2021-12-09,,0
2021-12-10,,2
2021-12-11,,0
2021-12-12,,4
2021-12-13,,0
2021-12-14,,1
2021-12-15,,6
2021-12-16,,2
2021-12-17,,2
2021-12-18,,1
2021-12-19,,2
2021-12-20,,0
2021-12-21,,0
2021-12-22,,1
2021-12-23,,1
2021-12-24,,2
2021-12-25,,0
2021-12-26,,2
2021-12-27,,1
2021-12-28,,0
2021-12-29,,1
2021-12-30,,0
2021-12-31,,1
2022-01-01,,2
2022-01-02,,6
2022-01-03,,0
2022-01-04,,1
2022-01-05,,5
2022-01-06,,5
2022-01-07,,3
2022-01-08,,1
2022-01-09,,0
2022-01-10,,2
2022-01-11,,1
2022-01-12,,1
2022-01-13,,1
2022-01-14,,4
2022-01-15,,2
2022-01-16,,1
2022-01-17,,8
2022-01-18,,6
2022-01-19,,2
2022-01-20,,0
2022-01-21,,0
2022-01-22,,3
2022-01-23,,4
2022-01-24,,1
2022-01-25,,3
2022-01-26,,4
2022-01-27,,0
2022-01-28,,4
2022-01-29,,0
2022-01-30,,1
2022-01-31,,2
2022-02-01,,0
2022-02-02,,4
2022-02-03,,3
2022-02-04,,2
2022-02-05,,0
2022-02-06,,5
2022-02-07,,1
2022-02-08,,4
2022-02-09,,2
2022-02-10,,1
2022-02-11,,8
2022-02-12,,8
2022-02-13,,2
2022-02-14,,3
2022-02-15,,1
2022-02-16,,3
2022-02-17,,6
2022-02-18,,1
2022-02-19,,1
2022-02-20,,6
2022-02-21,,35
2022-02-22,,40
2022-02-23,,6
2022-02-24,,3
2022-02-25,,2
2022-02-26,,1
2022-02-27,,22
2022-02-28,,24
2022-03-01,,27
2022-03-02,,8
2022-03-03,,9
2022-03-04,,19
2022-03-05,,15
2022-03-06,,5
2022-03-07,,16
2022-03-08,,2
2022-03-09,,5
2022-03-10,,4
2022-03-11,,3
2022-03-12,,2
2022-03-13,,3
2022-03-14,,8
2022-03-15,,4
2022-03-16,,4
2022-03-17,,11
2022-03-18,,1
2022-03-19,,3
2022-03-20,,2
2022-03-21,,2
2022-03-22,,2
2022-03-23,,4
2022-03-24,,2
2022-03-25,,4
2022-03-26,,19
2022-03-27,,8
2022-03-28,,8
2022-03-29,,12
2022-03-30,,7
2022-03-31,,16
2022-04-01,,10
2022-04-02,,6
2022-04-03,,6
2022-04-04,,22
2022-04-05,,13
2022-04-06,,11
2022-04-07,,8
2022-04-08,,9
2022-04-09,,12
2022-04-10,,3
2022-04-11,,3
2022-04-12,,14
2022-04-13,,9
2022-04-14,,7
2022-04-15,,4
2022-04-16,,3
2022-04-17,,7
2022-04-18,,5
2022-04-19,,13
2022-04-20,,7
2022-04-21,,43
2022-04-22,,9
2022-04-23,,2
2022-04-24,,37
2022-04-25,,26
2022-04-26,,64
2022-04-27,,82
2022-04-28,,50
2022-04-29,,23
2022-04-30,,83
2022-05-01,,59
2022-05-02,,41
2022-05-03,,37
2022-05-04,,31
2022-05-05,,6
2022-05-06,,37
2022-05-07,,9
2022-05-08,,37
2022-05-09,,37
2022-05-10,,71
2022-05-11,,73
2022-05-12,,62
2022-05-13,,20
2022-05-14,,21
2022-05-15,,34
2022-05-16,,43
2022-05-17,,47
2022-05-18,,77
2022-05-19,,49
2022-05-20,,32
2022-05-21,,19
2022-05-22,,21
2022-05-23,,29
2022-05-24,,23
2022-05-25,,15
2022-05-26,,44
2022-05-27,,40
2022-05-28,,5
2022-05-29,,22
2022-05-30,,28
2022-05-31,,17
2022-06-01,,41
2022-06-02,,26
2022-06-03,,16
2022-06-04,,14
2022-06-05,,15
2022-06-06,,4
2022-06-07,,34
2022-06-08,,17
2022-06-09,,9
2022-06-10,,25
2022-06-11,,18
2022-06-12,,32
2022-06-13,,51
2022-06-14,,64
2022-06-15,,66
2022-06-16,,31
2022-06-17,,59
2022-06-18,,35
2022-06-19,,20
2022-06-20,,43
2022-06-21,,70
2022-06-22,,87
2022-06-23,,65
2022-06-24,,47
2022-06-25,,36
2022-06-26,,21
2022-06-27,,35
2022-06-28,,55
2022-06-29,,55
2022-06-30,,34
2022-07-01,,71
2022-07-02,,26
2022-07-03,,41
2022-07-04,,22
2022-07-05,,37
2022-07-06,,109
2022-07-07,,106
2022-07-08,,41
2022-07-09,,40
2022-07-10,,38
2022-07-11,,40
2022-07-12,,53
2022-07-13,,59
2022-07-14,,69
2022-07-15,,33
2022-07-16,,45
2022-07-17,,16
2022-07-18,,34
2022-07-19,,36
2022-07-20,,44
2022-07-21,,67
2022-07-22,,66
2022-07-23,,36
2022-07-24,,39
2022-07-25,,82
2022-07-26,,46
2022-07-27,,46
2022-07-28,,51
2022-07-29,,52
2022-07-30,,63
2022-07-31,,96
2022-08-01,,60
2022-08-02,,32
2022-08-03,,29
2022-08-04,,87
2022-08-05,,19
2022-08-06,,71
2022-08-07,,83
2022-08-08,,358
2022-08-09,,310
2022-08-10,,154
2022-08-11,,136
2022-08-12,,146
2022-08-13,,64
2022-08-14,,27
2022-08-15,,59
2022-08-16,,58
2022-08-17,,33
2022-08-18,,85
2022-08-19,,50
2022-08-20,,27
2022-08-21,,93
2022-08-22,,64
2022-08-23,,94
2022-08-24,,82
2022-08-25,,71
2022-08-26,,47
2022-08-27,,34
2022-08-28,,17
2022-08-29,,82
2022-08-30,,59
2022-08-31,,72
2022-09-01,,86
2022-09-02,,93
2022-09-03,,25
2022-09-04,,67
2022-09-05,,35
2022-09-06,,133
2022-09-07,,62
2022-09-08,,35
2022-09-09,,36
2022-09-10,,22
2022-09-11,,32
2022-09-12,,57
2022-09-13,,74
2022-09-14,,63
2022-09-15,,100
2022-09-16,,72
2022-09-17,,44
2022-09-18,,31
2022-09-19,,30
2022-09-20,,92
2022-09-21,,54
2022-09-22,,103
2022-09-23,,56
2022-09-24,,53
2022-09-25,,178
2022-09-26,,366
2022-09-27,,155
2022-09-28,,94
2022-09-29,,90
2022-09-30,,80
2022-10-01,,37
2022-10-02,,32
2022-10-03,,77
2022-10-04,,97
2022-10-05,,77
2022-10-06,,55
2022-10-07,,48
2022-10-08,,32
2022-10-09,,96
2022-10-10,,37
2022-10-11,,89
2022-10-12,,57
2022-10-13,,34
2022-10-14,,46
2022-10-15,,28
2022-10-16,,22
2022-10-17,,8
2022-10-18,,25
2022-10-19,,30
2022-10-20,,11
2022-10-21,,34
2022-10-22,,45
2022-10-23,,13
2022-10-24,,28
2022-10-25,,56
2022-10-26,,83
2022-10-27,,64
2022-10-28,,50
2022-10-29,,36
2022-10-30,,19
2022-10-31,,72
2022-11-01,,73
2022-11-02,,51
2022-11-03,,47
2022-11-04,,31
2022-11-05,,14
2022-11-06,,24
2022-11-07,,58
2022-11-08,,24
2022-11-09,,62
2022-11-10,,16
2022-11-11,,31
2022-11-12,,18
2022-11-13,,36
2022-11-14,,48
2022-11-15,,13
2022-11-16,,16
2022-11-17,,38
2022-11-18,,25
2022-11-19,,9
2022-11-20,,8
2022-11-21,,6
2022-11-22,,4
2022-11-23,,14
2022-11-24,,5
2022-11-25,,4
2022-11-26,,6
2022-11-27,,0
2022-11-28,,30
2022-11-29,,18
2022-11-30,,4
2022-12-01,,5
2022-12-02,,14
2022-12-03,,6
2022-12-04,,8
2022-12-05,,6
2022-12-06,,2
2022-12-07,,3
2022-12-08,,5
2022-12-09,,6
2022-12-10,,10
2022-12-11,,6
2022-12-12,,5
2022-12-13,,3
2022-12-14,,7
2022-12-15,,9
2022-12-16,,3
2022-12-17,,2
2022-12-18,,3
2022-12-19,,14
2022-12-20,,3
2022-12-21,,1
2022-12-22,,4
2022-12-23,,5
2022-12-24,,0
2022-12-25,,2
2022-12-26,,6
2022-12-27,,4
2022-12-28,,6
2022-12-29,,4
2022-12-30,,2
2022-12-31,,0
2023-01-01,,6
2023-01-02,,4
2023-01-03,,14
2023-01-04,,75
2023-01-05,,9
2023-01-06,,5
2023-01-07,,3
2023-01-08,,2
2023-01-09,,6
2023-01-10,,1
2023-01-11,,3
2023-01-12,,6
2023-01-13,,4
2023-01-14,,5
2023-01-15,,4
2023-01-16,,9
2023-01-17,,12
2023-01-18,,8
2023-01-19,,4
2023-01-20,,5
2023-01-21,,4
2023-01-22,,17
2023-01-23,,23
2023-01-24,,38
2023-01-25,,46
2023-01-26,,47
2023-01-27,,30
2023-01-28,,13
2023-01-29,,7
2023-01-30,,13
2023-01-31,,6
2023-02-01,,6
2023-02-02,,3
2023-02-03,,3
2023-02-04,,5
2023-02-05,,5
2023-02-06,,1
2023-02-07,,2
2023-02-08,,4
2023-02-09,,2
2023-02-10,,2
2023-02-11,,16
2023-02-12,,3
2023-02-13,,0
2023-02-14,,4
2023-02-15,,1
2023-02-16,,3
2023-02-17,,1
2023-02-18,,3
2023-02-19,,3
2023-02-20,,4
2023-02-21,,4
2023-02-22,,1
2023-02-23,,5
2023-02-24,,1
2023-02-25,,71
2023-02-26,,6
2023-02-27,,3
2023-02-28,,1
2023-03-01,,1
2023-03-02,,5
2023-03-03,,4
2023-03-04,,2
2023-03-05,,4
2023-03-06,,6
2023-03-07,,3
2023-03-08,,17
2023-03-09,,5
2023-03-10,,20
2023-03-11,,1
2023-03-12,,4
2023-03-13,,5
2023-03-14,,3
2023-03-15,,1
2023-03-16,,12
2023-03-17,,1
2023-03-18,,1
2023-03-19,,0
2023-03-20,,5
2023-03-21,,2
2023-03-22,,1
2023-03-23,,1
2023-03-24,,4
2023-03-25,,1
2023-03-26,,0
2023-03-27,,2
2023-03-28,,1
2023-03-29,,6
2023-03-30,,3
2023-03-31,,2
2023-04-01,,5
2023-04-02,,1
2023-04-03,,5
2023-04-04,,2
2023-04-05,,2
2023-04-06,,1
2023-04-07,,3
2023-04-08,,0
2023-04-09,,1
2023-04-10,,3
2023-04-11,,3
2023-04-12,,1
2023-04-13,,3
2023-04-14,,2
2023-04-15,,8
2023-04-16,,7
2023-04-17,,9
2023-04-18,,13
2023-04-19,,3
2023-04-20,,4
2023-04-21,,4
2023-04-22,,6
2023-04-23,,2
2023-04-24,,0
2023-04-25,,13
2023-04-26,,6
2023-04-27,,6
2023-04-28,,5
2023-04-29,,0
2023-04-30,,3
2023-05-01,,9
2023-05-02,,1
2023-05-03,,5
2023-05-04,,1
2023-05-05,,2
2023-05-06,,2
2023-05-07,,1
2023-05-08,,2
2023-05-09,,5
2023-05-10,,1
2023-05-11,,2
2023-05-12,,19
2023-05-13,,2
2023-05-14,,0
2023-05-15,,3
2023-05-16,,2
2023-05-17,,11
2023-05-18,,8
2023-05-19,,5
2023-05-20,,1
2023-05-21,,5
2023-05-22,,7
2023-05-23,,1
2023-05-24,,9
2023-05-25,,1
2023-05-26,,8
2023-05-27,,2
2023-05-28,,1
2023-05-29,,1
2023-05-30,,11
2023-05-31,,3
2023-06-01,,1
2023-06-02,,2
2023-06-03,,9
2023-06-04,,3
2023-06-05,,4
2023-06-06,,4
2023-06-07,,0
2023-06-08,,5
2023-06-09,,2
2023-06-10,,2
2023-06-11,,3
2023-06-12,,4
2023-06-13,,2
2023-06-14,,7
2023-06-15,,1
2023-06-16,,4
2023-06-17,,0
2023-06-18,,0
2023-06-19,,1
2023-06-20,,3
2023-06-21,,2
2023-06-22,,2
2023-06-23,,1
2023-06-24,,2
2023-06-25,,2
2023-06-26,,5
2023-06-27,,2
2023-06-28,,1
2023-06-29,,1
2023-06-30,,0
2023-07-01,,2
2023-07-02,,2
2023-07-03,,10
2023-07-04,,5
2023-07-05,,4
2023-07-06,,1
2023-07-07,,5
2023-07-08,,1
2023-07-09,,3
2023-07-10,,1
2023-07-11,,0
2023-07-12,,4
2023-07-13,,2
2023-07-14,,0
2023-07-15,,2
2023-07-16,,3
2023-07-17,,10
2023-07-18,,6
2023-07-19,,8
2023-07-20,,3
2023-07-21,,1
2023-07-22,,10
2023-07-23,,0
2023-07-24,,6
2023-07-25,,6
2023-07-26,,13
2023-07-27,,4
2023-07-28,,0
2023-07-29,,1
2023-07-30,,4
2023-07-31,,6
2023-08-01,,2
2023-08-02,,4
2023-08-03,,6
2023-08-04,,4
2023-08-05,,0
2023-08-06,,2
2023-08-07,,1
2023-08-08,,3
2023-08-09,,4
2023-08-10,,1
2023-08-11,,22
2023-08-12,,0
2023-08-13,,1
2023-08-14,,18
2023-08-15,,2
2023-08-16,,0
2023-08-17,,1
2023-08-18,,0
2023-08-19,,1
2023-08-20,,0
2023-08-21,,3
2023-08-22,,1
2023-08-23,,10
2023-08-24,,2
2023-08-25,,5
2023-08-26,,0
2023-08-27,,2
2023-08-28,,1
2023-08-29,,3
2023-08-30,,4
2023-08-31,,6
2023-09-01,,3
2023-09-02,,4
2023-09-03,,2
2023-09-04,,3
2023-09-05,,3
2023-09-06,,9
2023-09-07,,2
2023-09-08,,3
2023-09-09,,9
2023-09-10,,2
2023-09-11,,7
2023-09-12,,1
2023-09-13,,1
2023-09-14,,3
2023-09-15,,5
2023-09-16,,2
2023-09-17,,3
2023-09-18,,3
2023-09-19,,5
2023-09-20,,5
2023-09-21,,4
2023-09-22,,15
2023-09-23,,6
2023-09-24,,1
2023-09-25,,3
2023-09-26,,8
2023-09-27,,0
2023-09-28,,7
2023-09-29,,33
2023-09-30,,11
2023-10-01,,3
2023-10-02,,5
2023-10-03,,2
2023-10-04,,7
2023-10-05,,9
2023-10-06,,6
2023-10-07,,10
2023-10-08,,9
2023-10-09,,1
2023-10-10,,3
2023-10-11,,8
2023-10-12,,12
2023-10-13,,1
2023-10-14,,2
2023-10-15,,5
2023-10-16,,13
2023-10-17,,23
2023-10-18,,13
2023-10-19,,3
2023-10-20,,2
2023-10-21,,3
2023-10-22,,0
2023-10-23,,5
2023-10-24,,3
2023-10-25,,1
2023-10-26,,2
2023-10-27,,4
2023-10-28,,1
2023-10-29,,2
2023-10-30,,6
2023-10-31,,2
2023-11-01,,1
2023-11-02,,1
2023-11-03,,0
2023-11-04,,6
2023-11-05,,2
2023-11-06,,11
2023-11-07,,6
2023-11-08,,0
2023-11-09,,8
2023-11-10,,4
2023-11-11,,26
2023-11-12,,0
2023-11-13,,15
2023-11-14,,5
2023-11-15,,4
2023-11-16,,11
2023-11-17,,13
2023-11-18,,4
2023-11-19,,11
2023-11-20,,18
2023-11-21,,23
2023-11-22,,6
2023-11-23,,8
2023-11-24,,7
2023-11-25,,49
2023-11-26,,37
2023-11-27,,299
2023-11-28,,282
2023-11-29,,240
2023-11-30,,185
2023-12-01,,169
2023-12-02,,61
2023-12-03,,30
2023-12-04,,37
2023-12-05,,24
2023-12-06,,36
2023-12-07,,13
2023-12-08,,13
2023-12-09,,52
2023-12-10,,49
2023-12-11,,147
2023-12-12,,148
2023-12-13,,109
2023-12-14,,84
2023-12-15,,40
2023-12-16,,44
2023-12-17,,36
2023-12-18,,82
2023-12-19,,90
2023-12-20,,75
2023-12-21,,118
2023-12-22,,46
2023-12-23,,14
2023-12-24,,33
2023-12-25,,30
2023-12-26,,53
2023-12-27,,6
2023-12-28,,0
2020-06-28,am#,0
2020-06-29,am#,0
2020-06-30,am#,0
2020-07-01,am#,0
2020-07-02,am#,0
2020-07-03,am#,0
2020-07-04,am#,0
2020-07-05,am#,0
2020-07-06,am#,0
2020-07-07,am#,0
2020-07-08,am#,0
2020-07-09,am#,0
2020-07-10,am#,0
2020-07-11,am#,0
2020-07-12,am#,0
2020-07-13,am#,0
2020-07-14,am#,0
2020-07-15,am#,0
2020-07-16,am#,0
2020-07-17,am#,0
2020-07-18,am#,0
2020-07-19,am#,0
2020-07-20,am#,0
2020-07-21,am#,0
2020-07-22,am#,0
2020-07-23,am#,0
2020-07-24,am#,0
2020-07-25,am#,0
2020-07-26,am#,0
2020-07-27,am#,0
2020-07-28,am#,0
2020-07-29,am#,0
2020-07-30,am#,0
2020-07-31,am#,0
2020-08-01,am#,0
2020-08-02,am#,0
2020-08-03,am#,0
2020-08-04,am#,0
2020-08-05,am#,0
2020-08-06,am#,0
2020-08-07,am#,0
2020-08-08,am#,0
2020-08-09,am#,0
2020-08-10,am#,0
2020-08-11,am#,0
2020-08-12,am#,0
2020-08-13,am#,0
2020-08-14,am#,0
2020-08-15,am#,0
2020-08-16,am#,0
2020-08-17,am#,0
2020-08-18,am#,0
2020-08-19,am#,0
2020-08-20,am#,0
2020-08-21,am#,0
2020-08-22,am#,0
2020-08-23,am#,0
2020-08-24,am#,0
2020-08-25,am#,0
2020-08-26,am#,0
2020-08-27,am#,0
2020-08-28,am#,0
2020-08-29,am#,0
2020-08-30,am#,0
2020-08-31,am#,0
2020-09-01,am#,0
2020-09-02,am#,0
2020-09-03,am#,0
2020-09-04,am#,0
2020-09-05,am#,0
2020-09-06,am#,0
2020-09-07,am#,0
2020-09-08,am#,0
2020-09-09,am#,0
2020-09-10,am#,0
2020-09-11,am#,0
2020-09-12,am#,0
2020-09-13,am#,0
2020-09-14,am#,0
2020-09-15,am#,0
2020-09-16,am#,0
2020-09-17,am#,0
2020-09-18,am#,0
2020-09-19,am#,0
2020-09-20,am#,0
2020-09-21,am#,0
2020-09-22,am#,0
2020-09-23,am#,0
2020-09-24,am#,0
2020-09-25,am#,0
2020-09-26,am#,0
2020-09-27,am#,0
2020-09-28,am#,0
2020-09-29,am#,0
2020-09-30,am#,0
2020-10-01,am#,0
2020-10-02,am#,0
2020-10-03,am#,0
