Date,Device type,Views
2021-01-30,Computer,0
2021-01-31,Computer,1
2021-02-01,Computer,1
2021-02-02,Computer,1
2021-02-03,Computer,4
2021-02-04,Computer,0
2021-02-05,Computer,0
2021-02-06,Computer,0
2021-02-07,Computer,0
2021-02-08,Computer,0
2021-02-09,Computer,0
2021-02-10,Computer,1
2021-02-11,Computer,1
2021-02-12,Computer,1
2021-02-13,Computer,0
2021-02-14,Computer,0
2021-02-15,Computer,2
2021-02-16,Computer,2
2021-02-17,Computer,3
2021-02-18,Computer,1
2021-02-19,Computer,1
2021-02-20,Computer,0
2021-02-21,Computer,0
2021-02-22,Computer,1
2021-02-23,Computer,2
2021-02-24,Computer,3
2021-02-25,Computer,1
2021-02-26,Computer,0
2021-02-27,Computer,0
2021-02-28,Computer,0
2021-03-01,Computer,5
2021-03-02,Computer,0
2021-03-03,Computer,0
2021-03-04,Computer,2
2021-03-05,Computer,2
2021-03-06,Computer,2
2021-03-07,Computer,6
2021-03-08,Computer,0
2021-03-09,Computer,1
2021-03-10,Computer,2
2021-03-11,Computer,0
2021-03-12,Computer,0
2021-03-13,Computer,0
2021-03-14,Computer,0
2021-03-15,Computer,1
2021-03-16,Computer,0
2021-03-17,Computer,8
2021-03-18,Computer,1
2021-03-19,Computer,0
2021-03-20,Computer,1
2021-03-21,Computer,1
2021-03-22,Computer,0
2021-03-23,Computer,0
2021-03-24,Computer,3
2021-03-25,Computer,2
2021-03-26,Computer,0
2021-03-27,Computer,3
2021-03-28,Computer,0
2021-03-29,Computer,0
2021-03-30,Computer,3
2021-03-31,Computer,0
2021-04-01,Computer,2
2021-04-02,Computer,0
2021-04-03,Computer,0
2021-04-04,Computer,2
2021-04-05,Computer,2
2021-04-06,Computer,1
2021-04-07,Computer,1
2021-04-08,Computer,0
2021-04-09,Computer,0
2021-04-10,Computer,0
2021-04-11,Computer,0
2021-04-12,Computer,0
2021-04-13,Computer,1
2021-04-14,Computer,0
2021-04-15,Computer,3
2021-04-16,Computer,3
2021-04-17,Computer,0
2021-04-18,Computer,0
2021-04-19,Computer,1
2021-04-20,Computer,1
2021-04-21,Computer,1
2021-04-22,Computer,2
2021-04-23,Computer,0
2021-04-24,Computer,1
2021-04-25,Computer,6
2021-04-26,Computer,4
2021-04-27,Computer,1
2021-04-28,Computer,0
2021-04-29,Computer,0
2021-04-30,Computer,1
2021-05-01,Computer,0
2021-05-02,Computer,0
2021-05-03,Computer,1
2021-05-04,Computer,4
2021-05-05,Computer,1
2021-05-06,Computer,3
2021-05-07,Computer,0
2021-05-08,Computer,0
2021-05-09,Computer,0
2021-05-10,Computer,0
2021-05-11,Computer,1
2021-05-12,Computer,4
2021-05-13,Computer,1
2021-05-14,Computer,0
2021-05-15,Computer,0
2021-05-16,Computer,6
2021-05-17,Computer,1
2021-05-18,Computer,0
2021-05-19,Computer,0
2021-05-20,Computer,2
2021-05-21,Computer,0
2021-05-22,Computer,2
2021-05-23,Computer,0
2021-05-24,Computer,1
2021-05-25,Computer,1
2021-05-26,Computer,1
2021-05-27,Computer,0
2021-05-28,Computer,1
2021-05-29,Computer,0
2021-05-30,Computer,2
2021-05-31,Computer,1
2021-06-01,Computer,3
2021-06-02,Computer,2
2021-06-03,Computer,1
2021-06-04,Computer,8
2021-06-05,Computer,1
2021-06-06,Computer,0
2021-06-07,Computer,1
2021-06-08,Computer,0
2021-06-09,Computer,15
2021-06-10,Computer,6
2021-06-11,Computer,0
2021-06-12,Computer,2
2021-06-13,Computer,1
2021-06-14,Computer,4
2021-06-15,Computer,3
2021-06-16,Computer,25
2021-06-17,Computer,15
2021-06-18,Computer,0
2021-06-19,Computer,59
2021-06-20,Computer,26
2021-06-21,Computer,143
2021-06-22,Computer,103
2021-06-23,Computer,109
2021-06-24,Computer,104
2021-06-25,Computer,145
2021-06-26,Computer,84
2021-06-27,Computer,61
2021-06-28,Computer,68
2021-06-29,Computer,49
2021-06-30,Computer,21
2021-07-01,Computer,20
2021-07-02,Computer,21
2021-07-03,Computer,2
2021-07-04,Computer,24
2021-07-05,Computer,13
2021-07-06,Computer,15
2021-07-07,Computer,19
2021-07-08,Computer,4
2021-07-09,Computer,18
2021-07-10,Computer,1
2021-07-11,Computer,17
2021-07-12,Computer,101
2021-07-13,Computer,89
2021-07-14,Computer,45
2021-07-15,Computer,58
2021-07-16,Computer,48
2021-07-17,Computer,17
2021-07-18,Computer,15
2021-07-19,Computer,37
2021-07-20,Computer,20
2021-07-21,Computer,35
2021-07-22,Computer,64
2021-07-23,Computer,44
2021-07-24,Computer,33
2021-07-25,Computer,3
2021-07-26,Computer,27
2021-07-27,Computer,30
2021-07-28,Computer,48
2021-07-29,Computer,66
2021-07-30,Computer,41
2021-07-31,Computer,5
2021-08-01,Computer,5
2021-08-02,Computer,44
2021-08-03,Computer,71
2021-08-04,Computer,13
2021-08-05,Computer,14
2021-08-06,Computer,8
2021-08-07,Computer,14
2021-08-08,Computer,8
2021-08-09,Computer,33
2021-08-10,Computer,21
2021-08-11,Computer,24
2021-08-12,Computer,4
2021-08-13,Computer,7
2021-08-14,Computer,2
2021-08-15,Computer,1
2021-08-16,Computer,34
2021-08-17,Computer,70
2021-08-18,Computer,52
2021-08-19,Computer,31
2021-08-20,Computer,32
2021-08-21,Computer,7
2021-08-22,Computer,6
2021-08-23,Computer,18
2021-08-24,Computer,11
2021-08-25,Computer,20
2021-08-26,Computer,29
2021-08-27,Computer,16
2021-08-28,Computer,5
2021-08-29,Computer,3
2021-08-30,Computer,27
2021-08-31,Computer,17
2021-09-01,Computer,13
2021-09-02,Computer,6
2021-09-03,Computer,7
2021-09-04,Computer,11
2021-09-05,Computer,2
2021-09-06,Computer,42
2021-09-07,Computer,13
2021-09-08,Computer,14
2021-09-09,Computer,12
2021-09-10,Computer,31
2021-09-11,Computer,6
2021-09-12,Computer,2
2021-09-13,Computer,3
2021-09-14,Computer,9
2021-09-15,Computer,31
2021-09-16,Computer,8
2021-09-17,Computer,15
2021-09-18,Computer,6
2021-09-19,Computer,1
2021-09-20,Computer,13
2021-09-21,Computer,8
2021-09-22,Computer,21
2021-09-23,Computer,13
2021-09-24,Computer,21
2021-09-25,Computer,2
2021-09-26,Computer,2
2021-09-27,Computer,13
2021-09-28,Computer,8
2021-09-29,Computer,8
2021-09-30,Computer,22
2021-10-01,Computer,22
2021-10-02,Computer,6
2021-10-03,Computer,6
2021-10-04,Computer,3
2021-10-05,Computer,14
2021-10-06,Computer,28
2021-10-07,Computer,1
2021-10-08,Computer,6
2021-10-09,Computer,9
2021-10-10,Computer,2
2021-10-11,Computer,9
2021-10-12,Computer,4
2021-10-13,Computer,4
2021-10-14,Computer,0
2021-10-15,Computer,0
2021-10-16,Computer,0
2021-10-17,Computer,3
2021-10-18,Computer,0
2021-10-19,Computer,2
2021-10-20,Computer,6
2021-10-21,Computer,1
2021-10-22,Computer,9
2021-10-23,Computer,2
2021-10-24,Computer,0
2021-10-25,Computer,125
2021-10-26,Computer,168
2021-10-27,Computer,170
2021-10-28,Computer,7
2021-10-29,Computer,7
2021-10-30,Computer,1
2021-10-31,Computer,1
2021-11-01,Computer,1
2021-11-02,Computer,1
2021-11-03,Computer,5
2021-11-04,Computer,1
2021-11-05,Computer,2
2021-11-06,Computer,0
2021-11-07,Computer,3
2021-11-08,Computer,4
2021-11-09,Computer,2
2021-11-10,Computer,81
2021-11-11,Computer,84
2021-11-12,Computer,0
2021-11-13,Computer,1
2021-11-14,Computer,1
2021-11-15,Computer,9
2021-11-16,Computer,1
2021-11-17,Computer,4
2021-11-18,Computer,2
2021-11-19,Computer,0
2021-11-20,Computer,2
2021-11-21,Computer,0
2021-11-22,Computer,0
2021-11-23,Computer,9
2021-11-24,Computer,2
2021-11-25,Computer,2
2021-11-26,Computer,0
2021-11-27,Computer,0
2021-11-28,Computer,1
2021-11-29,Computer,0
2021-11-30,Computer,3
2021-12-01,Computer,0
2021-12-02,Computer,1
2021-12-03,Computer,0
2021-12-04,Computer,1
2021-12-05,Computer,2
2021-12-06,Computer,1
2021-12-07,Computer,1
2021-12-08,Computer,3
2021-12-09,Computer,0
2021-12-10,Computer,0
2021-12-11,Computer,0
2021-12-12,Computer,1
2021-12-13,Computer,0
2021-12-14,Computer,1
2021-12-15,Computer,7
2021-12-16,Computer,2
2021-12-17,Computer,2
2021-12-18,Computer,4
2021-12-19,Computer,1
2021-12-20,Computer,0
2021-12-21,Computer,0
2021-12-22,Computer,1
2021-12-23,Computer,1
2021-12-24,Computer,1
2021-12-25,Computer,0
2021-12-26,Computer,2
2021-12-27,Computer,0
2021-12-28,Computer,0
2021-12-29,Computer,1
2021-12-30,Computer,0
2021-12-31,Computer,1
2022-01-01,Computer,1
2022-01-02,Computer,6
2022-01-03,Computer,0
2022-01-04,Computer,0
2022-01-05,Computer,3
2022-01-06,Computer,1
2022-01-07,Computer,0
2022-01-08,Computer,0
2022-01-09,Computer,0
2022-01-10,Computer,1
2022-01-11,Computer,1
2022-01-12,Computer,0
2022-01-13,Computer,0
2022-01-14,Computer,4
2022-01-15,Computer,2
2022-01-16,Computer,0
2022-01-17,Computer,0
2022-01-18,Computer,4
2022-01-19,Computer,0
2022-01-20,Computer,0
2022-01-21,Computer,0
2022-01-22,Computer,2
2022-01-23,Computer,3
2022-01-24,Computer,1
2022-01-25,Computer,2
2022-01-26,Computer,1
2022-01-27,Computer,0
2022-01-28,Computer,3
2022-01-29,Computer,0
2022-01-30,Computer,1
2022-01-31,Computer,2
2022-02-01,Computer,0
2022-02-02,Computer,4
2022-02-03,Computer,3
2022-02-04,Computer,2
2022-02-05,Computer,1
2022-02-06,Computer,0
2022-02-07,Computer,1
2022-02-08,Computer,4
2022-02-09,Computer,0
2022-02-10,Computer,1
2022-02-11,Computer,5
2022-02-12,Computer,6
2022-02-13,Computer,1
2022-02-14,Computer,2
2022-02-15,Computer,0
2022-02-16,Computer,2
2022-02-17,Computer,1
2022-02-18,Computer,2
2022-02-19,Computer,1
2022-02-20,Computer,0
2022-02-21,Computer,35
2022-02-22,Computer,37
2022-02-23,Computer,4
2022-02-24,Computer,2
2022-02-25,Computer,1
2022-02-26,Computer,0
2022-02-27,Computer,22
2022-02-28,Computer,12
2022-03-01,Computer,23
2022-03-02,Computer,8
2022-03-03,Computer,8
2022-03-04,Computer,15
2022-03-05,Computer,13
2022-03-06,Computer,1
2022-03-07,Computer,5
2022-03-08,Computer,1
2022-03-09,Computer,2
2022-03-10,Computer,2
2022-03-11,Computer,2
2022-03-12,Computer,2
2022-03-13,Computer,1
2022-03-14,Computer,8
2022-03-15,Computer,1
2022-03-16,Computer,3
2022-03-17,Computer,6
2022-03-18,Computer,0
2022-03-19,Computer,1
2022-03-20,Computer,1
2022-03-21,Computer,1
2022-03-22,Computer,1
2022-03-23,Computer,2
2022-03-24,Computer,2
2022-03-25,Computer,3
2022-03-26,Computer,14
2022-03-27,Computer,8
2022-03-28,Computer,10
2022-03-29,Computer,9
2022-03-30,Computer,6
2022-03-31,Computer,11
2022-04-01,Computer,9
2022-04-02,Computer,3
2022-04-03,Computer,6
2022-04-04,Computer,20
2022-04-05,Computer,10
2022-04-06,Computer,7
2022-04-07,Computer,5
2022-04-08,Computer,5
2022-04-09,Computer,7
2022-04-10,Computer,6
2022-04-11,Computer,1
2022-04-12,Computer,7
2022-04-13,Computer,7
2022-04-14,Computer,3
2022-04-15,Computer,2
2022-04-16,Computer,0
2022-04-17,Computer,6
2022-04-18,Computer,1
2022-04-19,Computer,9
2022-04-20,Computer,6
2022-04-21,Computer,42
2022-04-22,Computer,5
2022-04-23,Computer,1
2022-04-24,Computer,16
2022-04-25,Computer,23
2022-04-26,Computer,55
2022-04-27,Computer,53
2022-04-28,Computer,47
2022-04-29,Computer,20
2022-04-30,Computer,71
2022-05-01,Computer,54
2022-05-02,Computer,25
2022-05-03,Computer,29
2022-05-04,Computer,26
2022-05-05,Computer,7
2022-05-06,Computer,34
2022-05-07,Computer,8
2022-05-08,Computer,25
2022-05-09,Computer,23
2022-05-10,Computer,47
2022-05-11,Computer,57
2022-05-12,Computer,46
2022-05-13,Computer,11
2022-05-14,Computer,19
2022-05-15,Computer,29
2022-05-16,Computer,34
2022-05-17,Computer,35
2022-05-18,Computer,60
2022-05-19,Computer,33
2022-05-20,Computer,27
2022-05-21,Computer,8
2022-05-22,Computer,15
2022-05-23,Computer,22
2022-05-24,Computer,12
2022-05-25,Computer,11
2022-05-26,Computer,37
2022-05-27,Computer,28
2022-05-28,Computer,5
2022-05-29,Computer,12
2022-05-30,Computer,24
2022-05-31,Computer,17
2022-06-01,Computer,35
2022-06-02,Computer,20
2022-06-03,Computer,9
2022-06-04,Computer,12
2022-06-05,Computer,9
2022-06-06,Computer,1
2022-06-07,Computer,23
2022-06-08,Computer,9
2022-06-09,Computer,8
2022-06-10,Computer,19
2022-06-11,Computer,10
2022-06-12,Computer,31
2022-06-13,Computer,47
2022-06-14,Computer,64
2022-06-15,Computer,60
2022-06-16,Computer,26
2022-06-17,Computer,55
2022-06-18,Computer,23
2022-06-19,Computer,14
2022-06-20,Computer,29
2022-06-21,Computer,66
2022-06-22,Computer,75
2022-06-23,Computer,58
2022-06-24,Computer,44
2022-06-25,Computer,33
2022-06-26,Computer,20
2022-06-27,Computer,23
2022-06-28,Computer,48
2022-06-29,Computer,28
2022-06-30,Computer,28
2022-07-01,Computer,56
2022-07-02,Computer,21
2022-07-03,Computer,38
2022-07-04,Computer,21
2022-07-05,Computer,29
2022-07-06,Computer,50
2022-07-07,Computer,86
2022-07-08,Computer,35
2022-07-09,Computer,36
2022-07-10,Computer,31
2022-07-11,Computer,29
2022-07-12,Computer,40
2022-07-13,Computer,28
2022-07-14,Computer,43
2022-07-15,Computer,28
2022-07-16,Computer,33
2022-07-17,Computer,9
2022-07-18,Computer,22
2022-07-19,Computer,27
2022-07-20,Computer,40
2022-07-21,Computer,52
2022-07-22,Computer,49
2022-07-23,Computer,27
2022-07-24,Computer,31
2022-07-25,Computer,72
2022-07-26,Computer,36
2022-07-27,Computer,38
2022-07-28,Computer,40
2022-07-29,Computer,47
2022-07-30,Computer,56
2022-07-31,Computer,63
2022-08-01,Computer,48
2022-08-02,Computer,17
2022-08-03,Computer,21
2022-08-04,Computer,92
2022-08-05,Computer,17
2022-08-06,Computer,63
2022-08-07,Computer,80
2022-08-08,Computer,271
2022-08-09,Computer,225
2022-08-10,Computer,114
2022-08-11,Computer,95
2022-08-12,Computer,109
2022-08-13,Computer,55
2022-08-14,Computer,16
2022-08-15,Computer,31
2022-08-16,Computer,39
2022-08-17,Computer,29
2022-08-18,Computer,50
2022-08-19,Computer,29
2022-08-20,Computer,24
2022-08-21,Computer,39
2022-08-22,Computer,37
2022-08-23,Computer,59
2022-08-24,Computer,54
2022-08-25,Computer,50
2022-08-26,Computer,32
2022-08-27,Computer,14
2022-08-28,Computer,16
2022-08-29,Computer,56
2022-08-30,Computer,47
2022-08-31,Computer,46
2022-09-01,Computer,52
2022-09-02,Computer,67
2022-09-03,Computer,14
2022-09-04,Computer,43
2022-09-05,Computer,27
2022-09-06,Computer,111
2022-09-07,Computer,44
2022-09-08,Computer,28
2022-09-09,Computer,20
2022-09-10,Computer,12
2022-09-11,Computer,27
2022-09-12,Computer,56
2022-09-13,Computer,55
2022-09-14,Computer,54
2022-09-15,Computer,59
2022-09-16,Computer,66
2022-09-17,Computer,25
2022-09-18,Computer,21
2022-09-19,Computer,23
2022-09-20,Computer,79
2022-09-21,Computer,48
2022-09-22,Computer,91
2022-09-23,Computer,42
2022-09-24,Computer,43
2022-09-25,Computer,163
2022-09-26,Computer,351
2022-09-27,Computer,133
2022-09-28,Computer,84
2022-09-29,Computer,78
2022-09-30,Computer,66
2022-10-01,Computer,14
2022-10-02,Computer,16
2022-10-03,Computer,67
2022-10-04,Computer,84
2022-10-05,Computer,73
2022-10-06,Computer,40
2022-10-07,Computer,40
2022-10-08,Computer,24
2022-10-09,Computer,88
2022-10-10,Computer,33
2022-10-11,Computer,79
2022-10-12,Computer,31
2022-10-13,Computer,24
2022-10-14,Computer,39
2022-10-15,Computer,23
2022-10-16,Computer,15
2022-10-17,Computer,3
2022-10-18,Computer,18
2022-10-19,Computer,26
2022-10-20,Computer,8
2022-10-21,Computer,31
2022-10-22,Computer,37
2022-10-23,Computer,10
2022-10-24,Computer,25
2022-10-25,Computer,39
2022-10-26,Computer,57
2022-10-27,Computer,50
2022-10-28,Computer,36
2022-10-29,Computer,29
2022-10-30,Computer,11
2022-10-31,Computer,52
2022-11-01,Computer,60
2022-11-02,Computer,44
2022-11-03,Computer,27
2022-11-04,Computer,27
2022-11-05,Computer,15
2022-11-06,Computer,20
2022-11-07,Computer,51
2022-11-08,Computer,18
2022-11-09,Computer,55
2022-11-10,Computer,16
2022-11-11,Computer,27
2022-11-12,Computer,9
2022-11-13,Computer,27
2022-11-14,Computer,38
2022-11-15,Computer,11
2022-11-16,Computer,12
2022-11-17,Computer,22
2022-11-18,Computer,22
2022-11-19,Computer,2
2022-11-20,Computer,4
2022-11-21,Computer,5
2022-11-22,Computer,2
2022-11-23,Computer,10
2022-11-24,Computer,5
2022-11-25,Computer,2
2022-11-26,Computer,5
2022-11-27,Computer,0
2022-11-28,Computer,14
2022-11-29,Computer,6
2022-11-30,Computer,4
2022-12-01,Computer,2
2022-12-02,Computer,14
2022-12-03,Computer,2
2022-12-04,Computer,4
2022-12-05,Computer,2
2022-12-06,Computer,2
2022-12-07,Computer,3
2022-12-08,Computer,0
2022-12-09,Computer,4
2022-12-10,Computer,4
2022-12-11,Computer,2
2022-12-12,Computer,2
2022-12-13,Computer,2
2022-12-14,Computer,4
2022-12-15,Computer,6
2022-12-16,Computer,3
2022-12-17,Computer,1
2022-12-18,Computer,0
2022-12-19,Computer,14
2022-12-20,Computer,3
2022-12-21,Computer,1
2022-12-22,Computer,3
2022-12-23,Computer,4
2022-12-24,Computer,0
2022-12-25,Computer,0
2022-12-26,Computer,4
2022-12-27,Computer,2
2022-12-28,Computer,5
2022-12-29,Computer,2
2022-12-30,Computer,0
2022-12-31,Computer,0
2023-01-01,Computer,0
2023-01-02,Computer,4
2023-01-03,Computer,11
2023-01-04,Computer,71
2023-01-05,Computer,2
2023-01-06,Computer,4
2023-01-07,Computer,1
2023-01-08,Computer,0
2023-01-09,Computer,5
2023-01-10,Computer,1
2023-01-11,Computer,3
2023-01-12,Computer,3
2023-01-13,Computer,0
2023-01-14,Computer,1
2023-01-15,Computer,0
2023-01-16,Computer,10
2023-01-17,Computer,6
2023-01-18,Computer,4
2023-01-19,Computer,2
2023-01-20,Computer,3
2023-01-21,Computer,3
2023-01-22,Computer,16
2023-01-23,Computer,20
2023-01-24,Computer,39
2023-01-25,Computer,41
2023-01-26,Computer,20
2023-01-27,Computer,23
2023-01-28,Computer,15
2023-01-29,Computer,3
2023-01-30,Computer,12
2023-01-31,Computer,4
2023-02-01,Computer,3
2023-02-02,Computer,3
2023-02-03,Computer,3
2023-02-04,Computer,3
2023-02-05,Computer,2
2023-02-06,Computer,1
2023-02-07,Computer,2
2023-02-08,Computer,1
2023-02-09,Computer,2
2023-02-10,Computer,0
2023-02-11,Computer,15
2023-02-12,Computer,3
2023-02-13,Computer,0
2023-02-14,Computer,3
2023-02-15,Computer,1
2023-02-16,Computer,3
2023-02-17,Computer,1
2023-02-18,Computer,0
2023-02-19,Computer,1
2023-02-20,Computer,5
2023-02-21,Computer,2
2023-02-22,Computer,1
2023-02-23,Computer,5
2023-02-24,Computer,0
2023-02-25,Computer,0
2023-02-26,Computer,3
2023-02-27,Computer,2
2023-02-28,Computer,1
2023-03-01,Computer,1
2023-03-02,Computer,4
2023-03-03,Computer,3
2023-03-04,Computer,2
2023-03-05,Computer,4
2023-03-06,Computer,7
2023-03-07,Computer,2
2023-03-08,Computer,17
2023-03-09,Computer,7
2023-03-10,Computer,19
2023-03-11,Computer,1
2023-03-12,Computer,3
2023-03-13,Computer,7
2023-03-14,Computer,3
2023-03-15,Computer,1
2023-03-16,Computer,12
2023-03-17,Computer,1
2023-03-18,Computer,0
2023-03-19,Computer,0
2023-03-20,Computer,3
2023-03-21,Computer,2
2023-03-22,Computer,2
2023-03-23,Computer,2
2023-03-24,Computer,5
2023-03-25,Computer,0
2023-03-26,Computer,0
2023-03-27,Computer,1
2023-03-28,Computer,0
2023-03-29,Computer,2
2023-03-30,Computer,2
2023-03-31,Computer,0
2023-04-01,Computer,1
2023-04-02,Computer,0
2023-04-03,Computer,3
2023-04-04,Computer,1
2023-04-05,Computer,1
2023-04-06,Computer,1
2023-04-07,Computer,0
2023-04-08,Computer,0
2023-04-09,Computer,0
2023-04-10,Computer,2
2023-04-11,Computer,3
2023-04-12,Computer,1
2023-04-13,Computer,3
2023-04-14,Computer,2
2023-04-15,Computer,4
2023-04-16,Computer,6
2023-04-17,Computer,4
2023-04-18,Computer,5
2023-04-19,Computer,2
2023-04-20,Computer,1
2023-04-21,Computer,0
2023-04-22,Computer,6
2023-04-23,Computer,2
2023-04-24,Computer,0
2023-04-25,Computer,13
2023-04-26,Computer,3
2023-04-27,Computer,4
2023-04-28,Computer,3
2023-04-29,Computer,0
2023-04-30,Computer,3
2023-05-01,Computer,4
2023-05-02,Computer,1
2023-05-03,Computer,5
2023-05-04,Computer,2
2023-05-05,Computer,2
2023-05-06,Computer,1
2023-05-07,Computer,0
2023-05-08,Computer,2
2023-05-09,Computer,5
2023-05-10,Computer,1
2023-05-11,Computer,2
2023-05-12,Computer,19
2023-05-13,Computer,1
2023-05-14,Computer,0
2023-05-15,Computer,0
2023-05-16,Computer,2
2023-05-17,Computer,10
2023-05-18,Computer,8
2023-05-19,Computer,5
2023-05-20,Computer,1
2023-05-21,Computer,4
2023-05-22,Computer,7
2023-05-23,Computer,0
2023-05-24,Computer,8
2023-05-25,Computer,1
2023-05-26,Computer,5
2023-05-27,Computer,1
2023-05-28,Computer,0
2023-05-29,Computer,2
2023-05-30,Computer,11
2023-05-31,Computer,4
2023-06-01,Computer,1
2023-06-02,Computer,2
2023-06-03,Computer,4
2023-06-04,Computer,2
2023-06-05,Computer,4
2023-06-06,Computer,2
2023-06-07,Computer,0
