Date,Sharing service,Shares
2021-03-26,Facebook,0
2021-03-27,Facebook,0
2021-03-28,Facebook,0
2021-03-29,Facebook,0
2021-03-30,Facebook,0
2021-03-31,Facebook,0
2021-04-01,Facebook,0
2021-04-02,Facebook,0
2021-04-03,Facebook,0
2021-04-04,Facebook,0
2021-04-05,Facebook,0
2021-04-06,Facebook,0
2021-04-07,Facebook,0
2021-04-08,Facebook,0
2021-04-09,Facebook,0
2021-04-10,Facebook,0
2021-04-11,Facebook,0
2021-04-12,Facebook,0
2021-04-13,Facebook,0
2021-04-14,Facebook,0
2021-04-15,Facebook,0
2021-04-16,Facebook,0
2021-04-17,Facebook,0
2021-04-18,Facebook,0
2021-04-19,Facebook,0
2021-04-20,Facebook,0
2021-04-21,Facebook,0
2021-04-22,Facebook,0
2021-04-23,Facebook,0
2021-04-24,Facebook,0
2021-04-25,Facebook,0
2021-04-26,Facebook,0
2021-04-27,Facebook,0
2021-04-28,Facebook,0
2021-04-29,Facebook,0
2021-04-30,Facebook,0
2021-05-01,Facebook,0
2021-05-02,Facebook,0
2021-05-03,Facebook,0
2021-05-04,Facebook,0
2021-05-05,Facebook,0
2021-05-06,Facebook,0
2021-05-07,Facebook,0
2021-05-08,Facebook,0
2021-05-09,Facebook,0
2021-05-10,Facebook,0
2021-05-11,Facebook,0
2021-05-12,Facebook,0
2021-05-13,Facebook,0
2021-05-14,Facebook,0
2021-05-15,Facebook,0
2021-05-16,Facebook,0
2021-05-17,Facebook,0
2021-05-18,Facebook,0
2021-05-19,Facebook,0
2021-05-20,Facebook,0
2021-05-21,Facebook,0
2021-05-22,Facebook,0
2021-05-23,Facebook,0
2021-05-24,Facebook,0
2021-05-25,Facebook,0
2021-05-26,Facebook,0
2021-05-27,Facebook,0
2021-05-28,Facebook,0
2021-05-29,Facebook,0
2021-05-30,Facebook,0
2021-05-31,Facebook,0
2021-06-01,Facebook,0
2021-06-02,Facebook,0
2021-06-03,Facebook,0
2021-06-04,Facebook,0
2021-06-05,Facebook,0
2021-06-06,Facebook,0
2021-06-07,Facebook,0
2021-06-08,Facebook,0
2021-06-09,Facebook,0
2021-06-10,Facebook,0
2021-06-11,Facebook,0
2021-06-12,Facebook,0
2021-06-13,Facebook,0
2021-06-14,Facebook,0
2021-06-15,Facebook,0
2021-06-16,Facebook,0
2021-06-17,Facebook,0
2021-06-18,Facebook,0
2021-06-19,Facebook,0
2021-06-20,Facebook,0
2021-06-21,Facebook,0
2021-06-22,Facebook,0
2021-06-23,Facebook,1
2021-06-24,Facebook,0
2021-06-25,Facebook,0
2021-06-26,Facebook,0
2021-06-27,Facebook,0
2021-06-28,Facebook,0
2021-06-29,Facebook,0
2021-06-30,Facebook,0
2021-07-01,Facebook,0
2021-07-02,Facebook,0
2021-07-03,Facebook,0
2021-07-04,Facebook,0
2021-07-05,Facebook,0
2021-07-06,Facebook,0
2021-07-07,Facebook,0
2021-07-08,Facebook,0
2021-07-09,Facebook,0
2021-07-10,Facebook,0
2021-07-11,Facebook,0
2021-07-12,Facebook,0
2021-07-13,Facebook,0
2021-07-14,Facebook,0
2021-07-15,Facebook,0
2021-07-16,Facebook,0
2021-07-17,Facebook,1
2021-07-18,Facebook,0
2021-07-19,Facebook,0
2021-07-20,Facebook,0
2021-07-21,Facebook,0
2021-07-22,Facebook,0
2021-07-23,Facebook,0
2021-07-24,Facebook,0
2021-07-25,Facebook,0
2021-07-26,Facebook,0
2021-07-27,Facebook,1
2021-07-28,Facebook,0
2021-07-29,Facebook,0
2021-07-30,Facebook,1
2021-07-31,Facebook,0
2021-08-01,Facebook,0
2021-08-02,Facebook,0
2021-08-03,Facebook,0
2021-08-04,Facebook,0
2021-08-05,Facebook,0
2021-08-06,Facebook,0
2021-08-07,Facebook,0
2021-08-08,Facebook,0
2021-08-09,Facebook,0
2021-08-10,Facebook,0
2021-08-11,Facebook,0
2021-08-12,Facebook,0
2021-08-13,Facebook,0
2021-08-14,Facebook,0
2021-08-15,Facebook,0
2021-08-16,Facebook,0
2021-08-17,Facebook,0
2021-08-18,Facebook,0
2021-08-19,Facebook,0
2021-08-20,Facebook,0
2021-08-21,Facebook,0
2021-08-22,Facebook,0
2021-08-23,Facebook,0
2021-08-24,Facebook,0
2021-08-25,Facebook,0
2021-08-26,Facebook,0
2021-08-27,Facebook,0
2021-08-28,Facebook,0
2021-08-29,Facebook,0
2021-08-30,Facebook,0
2021-08-31,Facebook,0
2021-09-01,Facebook,0
2021-09-02,Facebook,0
2021-09-03,Facebook,0
2021-09-04,Facebook,0
2021-09-05,Facebook,0
2021-09-06,Facebook,0
2021-09-07,Facebook,0
2021-09-08,Facebook,0
2021-09-09,Facebook,0
2021-09-10,Facebook,0
2021-09-11,Facebook,0
2021-09-12,Facebook,0
2021-09-13,Facebook,0
2021-09-14,Facebook,0
2021-09-15,Facebook,0
2021-09-16,Facebook,0
2021-09-17,Facebook,0
2021-09-18,Facebook,0
2021-09-19,Facebook,0
2021-09-20,Facebook,0
2021-09-21,Facebook,0
2021-09-22,Facebook,0
2021-09-23,Facebook,0
2021-09-24,Facebook,0
2021-09-25,Facebook,0
2021-09-26,Facebook,0
2021-09-27,Facebook,0
2021-09-28,Facebook,0
2021-09-29,Facebook,0
2021-09-30,Facebook,0
2021-10-01,Facebook,0
2021-10-02,Facebook,0
2021-10-03,Facebook,0
2021-10-04,Facebook,0
2021-10-05,Facebook,0
2021-10-06,Facebook,0
2021-10-07,Facebook,0
2021-10-08,Facebook,0
2021-10-09,Facebook,0
2021-10-10,Facebook,0
2021-10-11,Facebook,0
2021-10-12,Facebook,0
2021-10-13,Facebook,0
2021-10-14,Facebook,0
2021-10-15,Facebook,0
2021-10-16,Facebook,0
2021-10-17,Facebook,0
2021-10-18,Facebook,0
2021-10-19,Facebook,0
2021-10-20,Facebook,0
2021-10-21,Facebook,0
2021-10-22,Facebook,0
2021-10-23,Facebook,0
2021-10-24,Facebook,0
2021-10-25,Facebook,0
2021-10-26,Facebook,0
2021-10-27,Facebook,0
2021-10-28,Facebook,0
2021-10-29,Facebook,0
2021-10-30,Facebook,0
2021-10-31,Facebook,0
2021-11-01,Facebook,0
2021-11-02,Facebook,0
2021-11-03,Facebook,0
2021-11-04,Facebook,0
2021-11-05,Facebook,0
2021-11-06,Facebook,0
2021-11-07,Facebook,0
2021-11-08,Facebook,0
2021-11-09,Facebook,0
2021-11-10,Facebook,0
2021-11-11,Facebook,0
2021-11-12,Facebook,0
2021-11-13,Facebook,0
2021-11-14,Facebook,0
2021-11-15,Facebook,0
2021-11-16,Facebook,0
2021-11-17,Facebook,0
2021-11-18,Facebook,0
2021-11-19,Facebook,0
2021-11-20,Facebook,0
2021-11-21,Facebook,0
2021-11-22,Facebook,0
2021-11-23,Facebook,0
2021-11-24,Facebook,0
2021-11-25,Facebook,0
2021-11-26,Facebook,0
2021-11-27,Facebook,0
2021-11-28,Facebook,0
2021-11-29,Facebook,0
2021-11-30,Facebook,0
2021-12-01,Facebook,0
2021-12-02,Facebook,0
2021-12-03,Facebook,0
2021-12-04,Facebook,0
2021-12-05,Facebook,0
2021-12-06,Facebook,0
2021-12-07,Facebook,0
2021-12-08,Facebook,0
2021-12-09,Facebook,0
2021-12-10,Facebook,0
2021-12-11,Facebook,0
2021-12-12,Facebook,0
2021-12-13,Facebook,0
2021-12-14,Facebook,0
2021-12-15,Facebook,0
2021-12-16,Facebook,0
2021-12-17,Facebook,0
2021-12-18,Facebook,0
2021-12-19,Facebook,0
2021-12-20,Facebook,0
2021-12-21,Facebook,0
2021-12-22,Facebook,0
2021-12-23,Facebook,0
2021-12-24,Facebook,0
2021-12-25,Facebook,0
2021-12-26,Facebook,0
2021-12-27,Facebook,0
2021-12-28,Facebook,0
2021-12-29,Facebook,0
2021-12-30,Facebook,0
2021-12-31,Facebook,0
2022-01-01,Facebook,0
2022-01-02,Facebook,0
2022-01-03,Facebook,0
2022-01-04,Facebook,0
2022-01-05,Facebook,0
2022-01-06,Facebook,0
2022-01-07,Facebook,0
2022-01-08,Facebook,0
2022-01-09,Facebook,0
2022-01-10,Facebook,0
2022-01-11,Facebook,0
2022-01-12,Facebook,0
2022-01-13,Facebook,0
2022-01-14,Facebook,0
2022-01-15,Facebook,0
2022-01-16,Facebook,0
2022-01-17,Facebook,0
2022-01-18,Facebook,0
2022-01-19,Facebook,0
2022-01-20,Facebook,0
2022-01-21,Facebook,0
2022-01-22,Facebook,0
2022-01-23,Facebook,0
2022-01-24,Facebook,0
2022-01-25,Facebook,0
2022-01-26,Facebook,0
2022-01-27,Facebook,0
2022-01-28,Facebook,0
2022-01-29,Facebook,0
2022-01-30,Facebook,0
2022-01-31,Facebook,0
2022-02-01,Facebook,0
2022-02-02,Facebook,0
2022-02-03,Facebook,0
2022-02-04,Facebook,0
2022-02-05,Facebook,0
2022-02-06,Facebook,0
2022-02-07,Facebook,0
2022-02-08,Facebook,0
2022-02-09,Facebook,0
2022-02-10,Facebook,0
2022-02-11,Facebook,0
2022-02-12,Facebook,0
2022-02-13,Facebook,0
2022-02-14,Facebook,0
2022-02-15,Facebook,0
2022-02-16,Facebook,0
2022-02-17,Facebook,0
2022-02-18,Facebook,0
2022-02-19,Facebook,0
2022-02-20,Facebook,0
2022-02-21,Facebook,0
2022-02-22,Facebook,0
2022-02-23,Facebook,0
2022-02-24,Facebook,0
2022-02-25,Facebook,0
2022-02-26,Facebook,0
2022-02-27,Facebook,0
2022-02-28,Facebook,1
2022-03-01,Facebook,0
2022-03-02,Facebook,0
2022-03-03,Facebook,0
2022-03-04,Facebook,0
2022-03-05,Facebook,0
2022-03-06,Facebook,0
2022-03-07,Facebook,0
2022-03-08,Facebook,0
2022-03-09,Facebook,0
2022-03-10,Facebook,0
2022-03-11,Facebook,0
2022-03-12,Facebook,0
2022-03-13,Facebook,0
2022-03-14,Facebook,0
2022-03-15,Facebook,0
2022-03-16,Facebook,0
2022-03-17,Facebook,0
2022-03-18,Facebook,0
2022-03-19,Facebook,0
2022-03-20,Facebook,0
2022-03-21,Facebook,0
2022-03-22,Facebook,0
2022-03-23,Facebook,0
2022-03-24,Facebook,0
2022-03-25,Facebook,0
2022-03-26,Facebook,0
2022-03-27,Facebook,0
2022-03-28,Facebook,0
2022-03-29,Facebook,0
2022-03-30,Facebook,0
2022-03-31,Facebook,0
2022-04-01,Facebook,0
2022-04-02,Facebook,0
2022-04-03,Facebook,0
2022-04-04,Facebook,0
2022-04-05,Facebook,0
2022-04-06,Facebook,0
2022-04-07,Facebook,0
2022-04-08,Facebook,0
2022-04-09,Facebook,0
2022-04-10,Facebook,0
2022-04-11,Facebook,0
2022-04-12,Facebook,0
2022-04-13,Facebook,0
2022-04-14,Facebook,0
2022-04-15,Facebook,0
2022-04-16,Facebook,0
2022-04-17,Facebook,0
2022-04-18,Facebook,0
2022-04-19,Facebook,0
2022-04-20,Facebook,0
2022-04-21,Facebook,0
2022-04-22,Facebook,0
2022-04-23,Facebook,0
2022-04-24,Facebook,0
2022-04-25,Facebook,0
2022-04-26,Facebook,0
2022-04-27,Facebook,0
2022-04-28,Facebook,0
2022-04-29,Facebook,0
2022-04-30,Facebook,0
2022-05-01,Facebook,0
2022-05-02,Facebook,0
2022-05-03,Facebook,0
2022-05-04,Facebook,0
2022-05-05,Facebook,0
2022-05-06,Facebook,0
2022-05-07,Facebook,0
2022-05-08,Facebook,0
2022-05-09,Facebook,1
2022-05-10,Facebook,0
2022-05-11,Facebook,0
2022-05-12,Facebook,0
2022-05-13,Facebook,0
2022-05-14,Facebook,0
2022-05-15,Facebook,0
2022-05-16,Facebook,0
2022-05-17,Facebook,0
2022-05-18,Facebook,0
2022-05-19,Facebook,0
2022-05-20,Facebook,0
2022-05-21,Facebook,0
2022-05-22,Facebook,0
2022-05-23,Facebook,0
2022-05-24,Facebook,0
2022-05-25,Facebook,0
2022-05-26,Facebook,0
2022-05-27,Facebook,0
2022-05-28,Facebook,0
2022-05-29,Facebook,0
2022-05-30,Facebook,0
2022-05-31,Facebook,0
2022-06-01,Facebook,0
2022-06-02,Facebook,0
2022-06-03,Facebook,0
2022-06-04,Facebook,0
2022-06-05,Facebook,0
2022-06-06,Facebook,0
2022-06-07,Facebook,0
2022-06-08,Facebook,0
2022-06-09,Facebook,0
2022-06-10,Facebook,0
2022-06-11,Facebook,0
2022-06-12,Facebook,0
2022-06-13,Facebook,0
2022-06-14,Facebook,0
2022-06-15,Facebook,0
2022-06-16,Facebook,0
2022-06-17,Facebook,0
2022-06-18,Facebook,0
2022-06-19,Facebook,0
2022-06-20,Facebook,0
2022-06-21,Facebook,0
2022-06-22,Facebook,0
2022-06-23,Facebook,0
2022-06-24,Facebook,0
2022-06-25,Facebook,0
2022-06-26,Facebook,0
2022-06-27,Facebook,0
2022-06-28,Facebook,0
2022-06-29,Facebook,0
2022-06-30,Facebook,0
2022-07-01,Facebook,0
2022-07-02,Facebook,0
2022-07-03,Facebook,0
2022-07-04,Facebook,0
2022-07-05,Facebook,0
2022-07-06,Facebook,0
2022-07-07,Facebook,0
2022-07-08,Facebook,0
2022-07-09,Facebook,0
2022-07-10,Facebook,0
2022-07-11,Facebook,0
2022-07-12,Facebook,0
2022-07-13,Facebook,0
2022-07-14,Facebook,0
2022-07-15,Facebook,0
2022-07-16,Facebook,0
2022-07-17,Facebook,0
2022-07-18,Facebook,0
2022-07-19,Facebook,0
2022-07-20,Facebook,0
2022-07-21,Facebook,0
2022-07-22,Facebook,0
2022-07-23,Facebook,0
2022-07-24,Facebook,0
2022-07-25,Facebook,0
2022-07-26,Facebook,0
2022-07-27,Facebook,0
2022-07-28,Facebook,0
2022-07-29,Facebook,0
2022-07-30,Facebook,0
2022-07-31,Facebook,0
2022-08-01,Facebook,0
2022-08-02,Facebook,0
2022-08-03,Facebook,0
2022-08-04,Facebook,0
2022-08-05,Facebook,0
2022-08-06,Facebook,0
2022-08-07,Facebook,0
2022-08-08,Facebook,0
2022-08-09,Facebook,0
2022-08-10,Facebook,0
2022-08-11,Facebook,0
2022-08-12,Facebook,0
2022-08-13,Facebook,0
2022-08-14,Facebook,0
2022-08-15,Facebook,0
2022-08-16,Facebook,0
2022-08-17,Facebook,0
2022-08-18,Facebook,0
2022-08-19,Facebook,0
2022-08-20,Facebook,0
2022-08-21,Facebook,0
2022-08-22,Facebook,0
2022-08-23,Facebook,0
2022-08-24,Facebook,0
2022-08-25,Facebook,0
2022-08-26,Facebook,0
2022-08-27,Facebook,0
2022-08-28,Facebook,0
2022-08-29,Facebook,0
2022-08-30,Facebook,0
2022-08-31,Facebook,0
2022-09-01,Facebook,0
2022-09-02,Facebook,0
2022-09-03,Facebook,0
2022-09-04,Facebook,0
2022-09-05,Facebook,0
2022-09-06,Facebook,0
2022-09-07,Facebook,0
2022-09-08,Facebook,0
2022-09-09,Facebook,0
2022-09-10,Facebook,0
2022-09-11,Facebook,0
2022-09-12,Facebook,0
2022-09-13,Facebook,0
2022-09-14,Facebook,0
2022-09-15,Facebook,0
2022-09-16,Facebook,0
2022-09-17,Facebook,0
2022-09-18,Facebook,0
2022-09-19,Facebook,0
2022-09-20,Facebook,0
2022-09-21,Facebook,0
2022-09-22,Facebook,0
2022-09-23,Facebook,0
2022-09-24,Facebook,0
2022-09-25,Facebook,0
2022-09-26,Facebook,0
2022-09-27,Facebook,0
2022-09-28,Facebook,0
2022-09-29,Facebook,0
2022-09-30,Facebook,0
2022-10-01,Facebook,0
2022-10-02,Facebook,0
2022-10-03,Facebook,0
2022-10-04,Facebook,0
2022-10-05,Facebook,0
2022-10-06,Facebook,0
2022-10-07,Facebook,0
2022-10-08,Facebook,0
2022-10-09,Facebook,0
2022-10-10,Facebook,0
2022-10-11,Facebook,0
2022-10-12,Facebook,0
2022-10-13,Facebook,0
2022-10-14,Facebook,0
2022-10-15,Facebook,0
2022-10-16,Facebook,0
2022-10-17,Facebook,0
2022-10-18,Facebook,0
2022-10-19,Facebook,0
2022-10-20,Facebook,0
2022-10-21,Facebook,0
2022-10-22,Facebook,0
2022-10-23,Facebook,0
2022-10-24,Facebook,0
2022-10-25,Facebook,0
2022-10-26,Facebook,0
2022-10-27,Facebook,0
2022-10-28,Facebook,0
2022-10-29,Facebook,0
2022-10-30,Facebook,0
2022-10-31,Facebook,0
2022-11-01,Facebook,0
2022-11-02,Facebook,0
2022-11-03,Facebook,0
2022-11-04,Facebook,0
2022-11-05,Facebook,0
2022-11-06,Facebook,0
2022-11-07,Facebook,0
2022-11-08,Facebook,0
2022-11-09,Facebook,0
2022-11-10,Facebook,0
2022-11-11,Facebook,0
2022-11-12,Facebook,0
2022-11-13,Facebook,0
2022-11-14,Facebook,0
2022-11-15,Facebook,0
2022-11-16,Facebook,0
2022-11-17,Facebook,0
2022-11-18,Facebook,0
2022-11-19,Facebook,0
2022-11-20,Facebook,0
2022-11-21,Facebook,0
2022-11-22,Facebook,0
2022-11-23,Facebook,0
2022-11-24,Facebook,0
2022-11-25,Facebook,0
2022-11-26,Facebook,0
2022-11-27,Facebook,0
2022-11-28,Facebook,0
2022-11-29,Facebook,0
2022-11-30,Facebook,0
2022-12-01,Facebook,0
2022-12-02,Facebook,0
2022-12-03,Facebook,0
2022-12-04,Facebook,0
2022-12-05,Facebook,0
2022-12-06,Facebook,0
2022-12-07,Facebook,0
2022-12-08,Facebook,0
2022-12-09,Facebook,0
2022-12-10,Facebook,0
2022-12-11,Facebook,0
2022-12-12,Facebook,0
2022-12-13,Facebook,0
2022-12-14,Facebook,0
2022-12-15,Facebook,0
2022-12-16,Facebook,0
2022-12-17,Facebook,0
2022-12-18,Facebook,0
2022-12-19,Facebook,0
2022-12-20,Facebook,0
2022-12-21,Facebook,0
2022-12-22,Facebook,0
2022-12-23,Facebook,0
2022-12-24,Facebook,0
2022-12-25,Facebook,0
2022-12-26,Facebook,0
2022-12-27,Facebook,0
2022-12-28,Facebook,0
2022-12-29,Facebook,0
2022-12-30,Facebook,0
2022-12-31,Facebook,0
2023-01-01,Facebook,0
2023-01-02,Facebook,0
2023-01-03,Facebook,0
2023-01-04,Facebook,0
2023-01-05,Facebook,0
2023-01-06,Facebook,0
2023-01-07,Facebook,0
2023-01-08,Facebook,0
2023-01-09,Facebook,0
2023-01-10,Facebook,0
2023-01-11,Facebook,0
2023-01-12,Facebook,0
2023-01-13,Facebook,0
2023-01-14,Facebook,0
2023-01-15,Facebook,0
2023-01-16,Facebook,0
2023-01-17,Facebook,0
2023-01-18,Facebook,0
2023-01-19,Facebook,0
2023-01-20,Facebook,0
2023-01-21,Facebook,0
2023-01-22,Facebook,0
2023-01-23,Facebook,0
2023-01-24,Facebook,0
2023-01-25,Facebook,0
2023-01-26,Facebook,0
2023-01-27,Facebook,0
2023-01-28,Facebook,0
2023-01-29,Facebook,0
2023-01-30,Facebook,0
2023-01-31,Facebook,0
2023-02-01,Facebook,0
2023-02-02,Facebook,0
2023-02-03,Facebook,0
2023-02-04,Facebook,0
2023-02-05,Facebook,0
2023-02-06,Facebook,0
2023-02-07,Facebook,0
2023-02-08,Facebook,0
2023-02-09,Facebook,0
2023-02-10,Facebook,0
2023-02-11,Facebook,0
2023-02-12,Facebook,0
2023-02-13,Facebook,0
2023-02-14,Facebook,0
2023-02-15,Facebook,0
2023-02-16,Facebook,0
2023-02-17,Facebook,0
2023-02-18,Facebook,0
2023-02-19,Facebook,0
2023-02-20,Facebook,0
2023-02-21,Facebook,0
2023-02-22,Facebook,0
2023-02-23,Facebook,0
2023-02-24,Facebook,0
2023-02-25,Facebook,0
2023-02-26,Facebook,0
2023-02-27,Facebook,0
2023-02-28,Facebook,0
2023-03-01,Facebook,0
2023-03-02,Facebook,0
2023-03-03,Facebook,0
2023-03-04,Facebook,0
2023-03-05,Facebook,0
2023-03-06,Facebook,0
2023-03-07,Facebook,0
2023-03-08,Facebook,0
2023-03-09,Facebook,0
2023-03-10,Facebook,0
2023-03-11,Facebook,0
2023-03-12,Facebook,0
2023-03-13,Facebook,0
2023-03-14,Facebook,0
2023-03-15,Facebook,0
2023-03-16,Facebook,0
2023-03-17,Facebook,0
2023-03-18,Facebook,0
2023-03-19,Facebook,0
2023-03-20,Facebook,0
2023-03-21,Facebook,0
2023-03-22,Facebook,0
